Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-NOVEMBER-2025,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4230,253,1528,12,0,12,1539,0,58,6,0,0,231,151,1299,0,0,260
MSitAE-NOVEMBER-2025,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16630,2302,0,0,0,0,6196,153,0,0,0,0,1188,243,5062,10,0,1473
MSitAE-NOVEMBER-2025,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7192,0,8197,0,0,0,4095,0,451,0,0,0,340,362,2302,0,295,597
MSitAE-NOVEMBER-2025,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8866,0,0,0,0,0,3750,0,0,0,0,0,887,155,2610,0,13,2018
MSitAE-NOVEMBER-2025,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10929,0,13304,0,0,0,5054,0,1413,0,0,0,770,461,4745,0,0,337
MSitAE-NOVEMBER-2025,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,10995,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22861,800,11293,0,0,0,9459,0,345,0,0,0,1216,427,6619,0,0,161
MSitAE-NOVEMBER-2025,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16331,1709,8379,609,0,0,7870,0,509,248,0,0,860,1040,5177,0,0,2351
MSitAE-NOVEMBER-2025,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,11135,934,3105,1815,0,742,4299,11,8,561,0,9,678,1284,3048,0,0,2242
MSitAE-NOVEMBER-2025,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8530,0,369,1,0,0,2261,0,0,0,0,0,375,64,1870,0,0,466
MSitAE-NOVEMBER-2025,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14698,497,8611,778,0,750,8019,0,205,396,0,25,1073,1093,4701,0,0,1148
MSitAE-NOVEMBER-2025,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10970,69,3167,0,0,80,4721,0,125,0,0,0,77,6,3429,8,60,1174
MSitAE-NOVEMBER-2025,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11842,0,3704,0,0,0,3069,0,12,0,0,0,689,249,3615,0,0,362
MSitAE-NOVEMBER-2025,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4555,301,1798,168,0,0,1638,0,0,61,0,0,379,54,1492,0,0,993
MSitAE-NOVEMBER-2025,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,5563,0,0,0,0,0,94,0,0,0,0,0,0,0,6,0,245
MSitAE-NOVEMBER-2025,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13781,0,0,496,0,0,4221,0,0,0,0,0,504,292,1486,0,0,297
MSitAE-NOVEMBER-2025,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,13567,1570,6522,0,0,1293,5561,54,12,0,0,0,586,48,3864,15,0,2708
MSitAE-NOVEMBER-2025,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13199,0,0,620,0,0,4804,0,0,148,0,0,430,389,2868,0,0,2639
MSitAE-NOVEMBER-2025,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10619,0,12504,0,0,0,2577,0,0,0,0,0,20,0,4313,0,8,505
MSitAE-NOVEMBER-2025,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7533,0,2830,0,0,0,3455,0,25,0,0,0,521,325,3065,0,0,557
MSitAE-NOVEMBER-2025,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7413,0,9125,0,0,2116,3761,0,361,0,0,43,372,24,2273,0,359,2186
MSitAE-NOVEMBER-2025,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9172,0,0,1,0,0,3075,0,0,0,0,0,554,366,3429,0,0,2260
MSitAE-NOVEMBER-2025,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,16510,0,4055,0,0,0,6433,0,296,0,0,0,895,932,4882,0,0,1235
MSitAE-NOVEMBER-2025,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,18346,0,1739,912,0,102,3915,0,55,138,0,2,988,247,2378,0,0,649
MSitAE-NOVEMBER-2025,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8802,0,7278,0,0,767,2661,0,110,0,0,0,807,18,4497,0,0,680
MSitAE-NOVEMBER-2025,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9292,0,8274,0,0,0,4538,0,40,0,0,0,474,185,2297,0,1,216
MSitAE-NOVEMBER-2025,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8127,0,1071,327,0,1511,3187,0,57,120,0,1,644,445,2622,0,61,941
MSitAE-NOVEMBER-2025,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1168,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0
MSitAE-NOVEMBER-2025,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,8986,0,2348,2011,0,1788,4166,0,32,0,0,0,278,101,2688,0,0,515
MSitAE-NOVEMBER-2025,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,16746,140,6306,120,0,53,6446,0,370,0,0,0,2112,332,3560,0,179,902
MSitAE-NOVEMBER-2025,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12364,0,3304,194,0,170,4551,0,212,41,0,4,960,471,2986,0,135,1256
MSitAE-NOVEMBER-2025,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,2910,0,0,143,0,0,120,0,0,1,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1062,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,7788,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2555,0,0,189,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,26111,794,18363,0,0,0,11748,4,2257,0,0,0,906,1000,4331,0,41,1271
MSitAE-NOVEMBER-2025,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11116,0,4946,283,0,275,4544,0,62,71,0,7,546,491,2743,0,27,390
MSitAE-NOVEMBER-2025,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,11913,0,8719,0,0,0,5991,0,206,0,0,0,364,87,3286,0,0,1454
MSitAE-NOVEMBER-2025,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8963,0,3807,443,0,0,2493,0,65,50,0,0,395,625,1995,0,0,535
MSitAE-NOVEMBER-2025,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12411,0,7276,0,0,0,3845,0,2,0,0,0,696,236,2191,0,0,1518
MSitAE-NOVEMBER-2025,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,13650,0,3999,0,0,0,5155,0,5,0,0,0,1179,197,3854,0,407,1075
MSitAE-NOVEMBER-2025,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11357,0,2179,0,0,0,3613,0,206,0,0,0,952,712,2092,0,0,147
MSitAE-NOVEMBER-2025,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9961,0,4693,0,0,0,5722,0,552,0,0,0,936,534,3801,0,0,2087
MSitAE-NOVEMBER-2025,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8917,0,10017,396,0,406,4390,0,75,149,0,2,574,404,2699,0,0,1163
MSitAE-NOVEMBER-2025,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
MSitAE-NOVEMBER-2025,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,12703,2593,5892,0,0,0,5588,100,159,0,0,0,48,17,1087,47,19,278
MSitAE-NOVEMBER-2025,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8206,0,4673,0,0,0,3681,0,79,0,0,0,649,466,2486,0,0,481
MSitAE-NOVEMBER-2025,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,35573,310,3244,0,0,214,14391,0,70,0,0,5,2895,1702,11249,0,0,7323
MSitAE-NOVEMBER-2025,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
MSitAE-NOVEMBER-2025,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10659,0,6868,0,0,0,3310,0,178,0,0,0,141,76,2111,0,0,222
MSitAE-NOVEMBER-2025,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9340,0,0,0,0,0,2580,0,0,0,0,0,265,317,1443,0,0,16
MSitAE-NOVEMBER-2025,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9523,0,5900,255,0,843,3391,0,853,67,0,0,379,591,1852,0,0,424
MSitAE-NOVEMBER-2025,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,13768,0,15911,0,0,0,6911,0,896,0,0,0,754,667,6200,0,0,294
MSitAE-NOVEMBER-2025,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17705,0,7184,204,0,0,6946,0,120,46,0,0,520,471,7419,0,0,658
MSitAE-NOVEMBER-2025,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,11171,281,7361,0,0,0,5473,0,244,0,0,0,807,306,5058,0,0,1646
MSitAE-NOVEMBER-2025,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,26810,0,9407,0,0,0,11165,0,301,0,0,0,1290,1068,7894,0,420,2150
MSitAE-NOVEMBER-2025,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,1934,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8090,0,2744,0,0,159,4050,0,114,0,0,4,452,875,2191,0,0,1686
MSitAE-NOVEMBER-2025,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13220,2250,14696,0,0,0,7908,719,219,0,0,0,583,829,4009,0,0,1889
MSitAE-NOVEMBER-2025,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12395,1785,3522,1685,0,217,4092,0,110,409,0,31,436,1,5221,88,15,4358
MSitAE-NOVEMBER-2025,RWW,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6989,0,2893,245,0,109,3444,0,70,70,0,8,615,922,1968,0,0,165
MSitAE-NOVEMBER-2025,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13016,2023,8899,0,0,255,7451,134,1048,0,0,1,157,495,3365,0,826,4029
MSitAE-NOVEMBER-2025,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,13118,0,3921,0,0,7428,5639,0,0,0,0,0,1980,46,4515,0,0,732
MSitAE-NOVEMBER-2025,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1466,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5474,0,0,2041,0,0,74,0,0,24,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,219,0,0,2718,0,0,0,0,0,2,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,107,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,62,0,0,478,0,0,0,0,0,2,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,550,0,0,2725,0,0,3,0,0,15,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,302,0,0,473,0,0,0,0,0,1,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,2137,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,12376,1187,0,0,0,0,4907,100,0,0,0,0,548,12,4228,12,0,1511
MSitAE-NOVEMBER-2025,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11173,2396,2674,1148,28,0,3497,24,0,345,0,0,494,7,2319,0,0,373
MSitAE-NOVEMBER-2025,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,21369,0,9373,1215,0,28,9586,0,3,257,0,0,943,1160,3956,0,0,2064
TOTAL,TOTAL,TOTAL,TOTAL,1420033,49176,794353,30111,549,52824,566630,2432,27004,8420,43,611,83151,50648,390459,1314,4971,135003
